,,,,,,,,,,,MUA VÀO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,HÃNG XE,LOẠI XE,TÌNH TRẠNG,BIỂN KIỂM SOÁT,SỐ KM,MÀU XE,NĂM SX XE,GIÁ ĐĂNG BÁN,GIÁ THU VỀ,LƯƠNG CTV,GIÁ MUA VÀO,LẦN 1,LẦN 2,LẦN 3,CÒN LẠI,HOA HỒNG MÔI GIỚI,CHI PHÍ XĂNG/CĐ/VÉ XE,CHI PHÍ KHÁC,NGÀY NHẬP KHO,THÁNG NHẬP XE,PHỤ TRÁCH MUA XE,LƯƠNG THU MUA,CHI PHÍ SỬA CHỮA,CHI PHÍ DỌN XE ĐÁNH PÁT,GHI CHÚ,GIÁ BÁN,NGÀY NHẬN CỌC,CHI PHÍ CÔNG CHỨNG,PHÍ RÚT HỒ SƠ,CHI PHÍ ĐỔI/ THUÊ PIN,CHI PHÍ KHÁC (Tặng hoa + phụ kiện....),HOA HỒNG MÔI GIỚI,PHỤ TRÁCH BÁN HÀNG,LƯƠNG BÁN HÀNG,"CỘNG GIÁ THÀNH
(GIÁ BÁN - CP KHÁC)",GIÁ VỐN (GIÁ MUA+CP KHÁC),LỢI NHUẬN GỘP,THU TIỀN LẦN 1,THU TIỀN LẦN 2,THU TIỀN LẦN 3,THU TIỀN LẦN 4,CÒN PHẢI THU BÁN XE,HÌNH THỨC THANH TOÁN,NGÂN HÀNG,SỐ TIỀN VAY,SỐ NGÀY TỒN KHO,ĐÃ HOÀN BÁN,GHI CHÚ KHÁC,,,,5/21/2026
60,VINFAST,VF8 ECO,,72A-67268,43.000,Đỏ,2022,620.000.000,610.000.000,5.000.000,450.000.000,20.000.000,430.000.000,6.000.000,0,6.000.000,200.000,350.000,7/24/2025,7,Vinh,3.000.000,,,,598.000.000,26/07/2025,350.000,2.700.000,611.000,2.560.000,300.000,Hà Tuấn,5.000.000,586.479.000,459.550.000,126.929.000,598.000.000,,,,0,,,,301,/07/25,,,,,
61,VINFAST,LUX A ,,61K,,đen,,,,,0,,,,0,,,,,7,Việt,4.000.000,,,,8.000.000,,,,,,,,,8.000.000,4.000.000,4.000.000,8.000.000,,,,0,,,,46163,/07/25,,,,,
62,TOYOTA ,VELOZ,,51K,,Trắng,,,,,0,,,,0,,,,,7,Thái,2.500.000,,,,5.000.000,,,,,,,,,5.000.000,2.500.000,2.500.000,5.000.000,,,,0,,,,46163,/07/25,,,,,
63,VINFAST,VF9 PLUS,Mua Pin,62A-37494,4.200,trắng,2024,1.350.000.000,1.330.000.000,8.000.000,1.150.000.000,1.150.000.000,5.000.000,,0,5.000.000,500.000,,7/28/2025,7,Việt,3.000.000,,,,1.295.000.000,23/08/2025,1.200.000,3.000.000,500.000,30.000.000,,Thái,8.000.000,1.252.300.000,1.158.500.000,93.800.000,50.000.000,615.000.000,600.000.000,30.000.000,0,,,,297,/08/25,Bao sang tên (cáp đối lux a pre trắng 2022),,,,
64,VINFAST,VF 8 PLUS,Pin Tiên Phong,50LD-21365,33.000,trắng,2023,770.000.000,760.000.000,5.000.000,680.000.000,650.000.000,5.000.000,30.000.000,0,5.000.000,,,8/4/2025,8,Thái,3.000.000,,,,730.000.000,07/08/2025,,2.300.000,2.000.000,5.000.000,1.100.000,Hà Tuấn,5.000.000,714.600.000,688.000.000,26.600.000,10.000.000,700.000.000,20.000.000,,0,,,,290,/08/25,,,,,
65,VINFAST,E34,Mua Pin,51K-31609,47.000,Đỏ,2022,530.000.000,520.000.000,5.000.000,465.000.000,20.000.000,445.000.000,,0,,,,8/6/2025,8,Thái,3.000.000,1.970.000,,,510.000.000,08/08/2025,300.000,2.300.000,500.000,14.200.000,,Vinh,5.000.000,487.700.000,469.970.000,17.730.000,15.000.000,475.000.000,20.000.000,,0,,,,288,/08/25,,,,,
66,VINFAST,VF3,Thuê Pin,64A-20750,5.000,trắng,2025,255.000.000,250.000.000,3.000.000,217.000.000,217.000.000,,,0,,,,8/9/2025,8,Hà Tuấn,3.000.000,,,,255.000.000,10/08/2025,636.000,2.500.000,1.600.000,,5.000.000,Bình,3.000.000,242.264.000,220.000.000,22.264.000,10.000.000,235.000.000,10.000.000,,0,,,,285,/08/25,,,,,
67,VINFAST,VF3,Thuê Pin,51L-584.09,5.600,Hồng,2024,240.000.000,235.000.000,3.000.000,192.000.000,20.000.000,172.000.000,5.000.000,0,5.000.000,,,8/15/2025,8,Thái,3.000.000,,,,228.000.000,18/09/2025,350.000,5.500.000,1.370.968,3.500.000,4.186.000,Thúy Vân,3.000.000,210.093.032,200.000.000,10.093.032,200.000.000,28.000.000,,,0,,,,279,/09/25,Bao sang tên,,,,
68,VINFAST,VF6 PLUS,Mua Pin,51L-975.18,2.800,Xám,2025,680.000.000,670.000.000,5.000.000,605.000.000,10.000.000,595.000.000,5.000.000,0,5.000.000,,,8/15/2025,8,Tuấn,3.000.000,600.000,,,655.000.000,07/09/2025,900.000,5.500.000,500.000,,,Vân Thúy,5.000.000,643.100.000,613.600.000,29.500.000,20.000.000,585.000.000,66.000.000,(-16.000.000),0,,,,279,/09/25,"Bao rút nhập, thuế khách chịu",,,,
69,VINFAST,VF7 PLUS,Thuê Pin,51B-33777,10.000,Xám,2024,775.000.000,765.000.000,5.000.000,690.000.000,100.000.000,400.000.000,195.000.000,0,5.000.000,,,8/25/2025,8,Vũ,3.000.000,,,,765.000.000,28/08/2025,,2.300.000,1.000.000,2.500.000,5.000.000,Vũ,5.000.000,749.200.000,698.000.000,51.200.000,300.000.000,395.000.000,70.000.000,,0,,,,269,/08/25,Bao chi phí bấm sô thuế khách chịu,,,,
70,HONDA,CRV- L,Fom 2024,60K-38557,29.000,trắng,2023,995.000.000,980.000.000,5.000.000,905.000.000,10.000.000,895.000.000,5.000.000,0,5.000.000,300.000,,8/18/2025,8,Thái,3.000.000,,,,935.000.000,25/09/2025,350.000,,,,,Tuấn,2.000.000,932.650.000,913.300.000,19.350.000,935.000.000,,,,0,,,,276,/09/25,,,,,
71,VINFAST,VF3,Mua Pin,71A-24654,600,trắng,2025,275.000.000,270.000.000,3.000.000,255.000.000,5.000.000,250.000.000,,0,,,,8/19/2025,8,Thái,3.000.000,2.000.000,300.000,,260.000.000,17/10/2025,500.000,1.500.000,500.000,,,,0,257.500.000,260.300.000,(-2.800.000),220.000.000,40.000.000,,,0,,,,275,/10/25,,,,,
72,VINFAST,LUX A PRE,Công Ty,65A-28374,43.000,Đen,2021,630.000.000,620.000.000,5.000.000,560.000.000,460.000.000,3.000.000,100.000.000,0,3.000.000,1.030.000,,8/19/2025,8,Thái,3.000.000,650.000,3.000.000,,620.000.000,04/11/2025,,2.500.000,,500.000,,Thái,5.000.000,612.000.000,570.680.000,41.320.000,30.000.000,188.000.000,403.000.000,,(-1.000.000),,,,275,/11/25,,,,,
73,VINFAST,VF3,Thuê Pin,51L-70541,7.500,Xanh bộ đội,2025,245.000.000,240.000.000,3.000.000,205.000.000,193.213.686,11.786.314,5.000.000,0,5.000.000,,,8/19/2025,8,Tuấn,3.000.000,,,,235.000.000,21/08/2025,800.000,2.300.000,1.600.000,0,0,Thái,3.000.000,227.300.000,213.000.000,14.300.000,20.000.000,200.000.000,15.000.000,,0,,,,275,/08/25,,,,,
74,VINFAST,VF3,Thuê Pin,51L-56837,3.500,Xanh bộ đội,2024,245.000.000,240.000.000,3.000.000,210.000.000,10.000.000,200.000.000,,0,,,,8/25/2025,8,Vinh,3.000.000,,,,225.000.000,08/09/2025,400.000,,1.167.742,,,Thái,,223.432.258,213.000.000,10.432.258,225.000.000,,,,0,,,,269,/09/25,,,,,
75,VINFAST,VF3,Thuê Pin,51L-87560,2.800,Xám,2025,280.000.000,275.000.000,3.000.000,223.000.000,223.000.000,2.000.000,,0,2.000.000,,,8/25/2025,8,Thái,3.000.000,,,,270.000.000,20/09/2025,500.000,2.300.000,2.088.548,,,Duy Anh,3.000.000,262.111.452,228.000.000,34.111.452,20.000.000,250.000.000,,,0,,,,269,/09/25,,,,,
76,VINFAST,VF3,Mua Pin,62A-,5.000,Đỏ,2025,245.000.000,240.000.000,3.000.000,245.000.000,5.000.000,220.000.000,20.000.000,0,,,,8/27/2025,8,Việt,3.000.000,4.480.000,,,245.000.000,04/02/2026,,2.600.000,500.000,747.000,5.386.000,Thái,3.000.000,232.767.000,252.480.000,(-19.713.000),220.000.000,25.000.000,,,0,,,,267,/02/26,bao ra tên,,,,
77,VINFAST,LUX A PRE,,51K-75470,54.000,trắng,2022,660.000.000,650.000.000,5.000.000,600.000.000,600.000.000,,,0,,,,9/3/2025,9,Thái,3.000.000,3.800.000,1.900.000,,640.000.000,11/10/2025,550.000,2.300.000,,13.310.000,,Vinh,5.000.000,618.840.000,608.700.000,10.140.000,20.000.000,600.000.000,20.000.000,,0,,,,260,/10/25,,,,,
78,VINFAST,E34,Thuê Pin,94A-07404,29.000,Xanh Doremon,2022,460.000.000,450.000.000,5.000.000,390.000.000,390.000.000,5.000.000,,0,5.000.000,,,8/29/2025,8,Vũ,3.000.000,300.000,,,440.000.000,12/09/2025,400.000,,860.565,,,,1.000.000,437.739.435,398.300.000,39.439.435,440.000.000,,,,0,,,,265,/09/25,,,,,
79,VINFAST,VF 8 PLUS,Thuê Pin,68A-26110,19.000,Xanh,2022,710.000.000,700.000.000,5.000.000,605.000.000,480.000.000,125.000.000,,,5.000.000,,,9/5/2025,9,Vũ,3.000.000,,400.000,,680.000.000,13/09/2025,650.000,3.000.000,2.547.774,100.000,,Bình,5.000.000,669.650.000,613.400.000,56.250.000,20.000.000,630.000.000,44.875.000,(-14.875.000),0,,,,258,/09/25,,,,,
80,VINFAST,LUX A PLUS,,51K-49073,44.000,Đen,2022,610.000.000,600.000.000,5.000.000,510.000.000,500.000.000,10.000.000,,,5.000.000,,,9/5/2025,9,Vũ,3.000.000,2.650.000,895.601,,590.000.000,11/12/2025,1.000.000,2.300.000,,,,Vinh,5.000.000,581.700.000,521.545.601,60.154.399,30.000.000,540.000.000,20.000.000,,0,,,,258,/12/25,,,,,
81,VINFAST,LUX SA BASE,,51K-17088,38.000,trắng,2022,690.000.000,680.000.000,5.000.000,608.000.000,10.000.000,598.000.000,,0,,,,9/10/2025,9,Thái,3.000.000,,,,678.000.000,08/11/2025,960.000,2.300.000,,15.200.000,,Thái,5.000.000,654.540.000,611.000.000,43.540.000,18.000.000,640.000.000,20.000.000,,0,,,,253,/11/25,Bao sang tên,,,,
82,VINFAST,LUX A PLUS,,93A-52051,100.000,trắng,2020,460.000.000,450.000.000,5.000.000,375.000.000,50.000.000,325.000.000,,0,,,,9/12/2025,9,Vinh,3.000.000,,,,398.000.000,30/09/2025,350.000,,,,,Tuấn,2.000.000,395.650.000,378.000.000,17.650.000,300.000.000,98.000.000,,,0,,,,251,/09/25,,,,,
83,VINFAST,E34,Thuê Pin,51K-73326,52.000,Xanh,2022,460.000.000,450.000.000,5.000.000,393.000.000,393.000.000,,,0,,,300.000,9/13/2025,9,Vũ,3.000.000,,,,430.000.000,,,,,,,,,430.000.000,396.300.000,33.700.000,430.000.000,,,,0,,,,250,/09/25,,,,,
84,VINFAST,VF7 PLUS,Mua Pin,,8.000,Xanh,2024,800.000.000,790.000.000,5.000.000,705.000.000,678.000.000,27.000.000,,0,,,,9/23/2025,9,Vũ,3.000.000,,,,770.000.000,26/09/2025,,2.300.000,500.000,,,hà Tuấn,5.000.000,762.200.000,708.000.000,54.200.000,20.000.000,700.000.000,50.000.000,,0,,,,240,/10/25,,,,,
85,VINFAST,VF3,Mua Pin,79A-54335,11.000,Hồng Tím,2024,255.000.000,250.000.000,3.000.000,220.000.000,145.000.000,75.000.000,3.000.000,0,3.000.000,,,9/25/2025,9,Tuấn,3.000.000,950.000,,,238.000.000,19/12/2025,500.000,1.500.000,,,,Hà Tuấn,3.000.000,233.000.000,226.950.000,6.050.000,10.000.000,228.000.000,,,0,,,,238,/12/25,,,,,
86,VINFAST,LUX A PLUS,,79A-29260,7.000,Đen,2019,560.000.000,550.000.000,5.000.000,466.000.000,446.000.000,30.000.000,,0,10.000.000,1.300.000,,9/24/2025,9,Vũ,3.000.000,1.050.000,,,540.000.000,02/10/2025,500.000,2.600.000,,8.291.000,,Thái,5.000.000,523.609.000,481.350.000,42.259.000,20.000.000,30.000.000,460.000.000,30.000.000,0,,,,239,/10/25,Bao sang tên hcm,,,,
87,VINFAST,LUX A PLUS,,70A-60807,40.000,Đen,2022,620.000.000,610.000.000,5.000.000,530.000.000,530.000.000,,,0,,300.000,,9/30/2025,9,Thái,3.000.000,950.000,700.000,,590.000.000,03/05/2025,350.000,2.000.000,,6.851.401,1.009.000,Vinh,5.000.000,574.789.599,534.950.000,39.839.599,20.000.000,520.000.000,50.000.000,,0,,,,233,/10/25,,,,,
88,VINFAST,VF8 LUX PLUS,Mua Pin,51L-67227,6.000,Đỏ,2024,930.000.000,920.000.000,5.000.000,825.000.000,815.000.000,10.000.000,,0,,,,10/2/2025,10,Vũ,3.000.000,1.500.000,2.491.601,,905.000.000,23/10/2025,,2.300.000,500.000,,,Thái,5.000.000,897.200.000,831.991.601,65.208.399,20.000.000,435.000.000,450.000.000,,0,,,,231,/10/25,vay NH ,,,,
89,VINFAST,FADIL PLUS,,60K-11367,13.000,Đỏ,2022,345.000.000,335.000.000,3.000.000,285.000.000,270.000.000,15.000.000,,0,,,,10/4/2025,10,Vinh,3.000.000,1.100.000,1.400.000,,328.000.000,1/11/2025,950.000,2.300.000,500.000,800.000,,Vinh,3.000.000,320.450.000,290.500.000,29.950.000,10.000.000,190.000.000,100.000.000,28.000.000,0,,,,229,/10/25,,,,,
90,VINFAST,VF9 PLUS,Mua Pin,51L12796,6.000,Xám,2024,1.250.000.000,1.240.000.000,8.000.000,1.105.000.000,1.085.000.000,20.000.000,,0,,,,10/9/2025,10,Vũ,3.000.000,800.000,,,1.230.000.000,10/10/2025,,2.500.000,500.000,,,Hà Tuấn,8.000.000,1.219.000.000,1.108.800.000,110.200.000,50.000.000,480.000.000,610.000.000,90.000.000,0,,,,224,/10/25,,,,,
91,VINFAST,VF5 PLUS,Mua Pin,50E-16418,2.000,trắng,2025,460.000.000,450.000.000,5.000.000,410.000.000,10.000.000,350.000.000,55.000.000,0,5.000.000,,,10/23/2025,10,Vũ,3.000.000,,,,455.000.000,26/10/2025,500.000,2.600.000,500.000,11.522.000,,Thái,5.000.000,434.878.000,418.000.000,16.878.000,20.000.000,415.000.000,20.000.000,,0,,,,210,/10/25,Bao sang tên,,,,
92,VINFAST,VF6 S,Mua Pin,69A-16744,10.000,Xám,2024,590.000.000,580.000.000,5.000.000,525.000.000,312.300.000,212.700.000,5.000.000,0,5.000.000,,,10/29/2025,10,Tuấn,3.000.000,,700.000,,575.000.000,21/11/2025,,2.500.000,500.000,300.000,,,5.000.000,566.700.000,533.700.000,33.000.000,20.000.000,375.000.000,180.000.000,,0,,,,204,/11/25,Vay NH,,,,
93,VINFAST,VF7 S,Mua Pin,69A-17379,20.000,Đỏ,2024,655.000.000,645.000.000,5.000.000,570.000.000,359.550.000,210.450.000,5.000.000,0,5.000.000,,,10/29/2025,10,Tuấn,3.000.000,1.300.000,700.000,,655.000.000,02/12/2025,,2.500.000,500.000,13.386.000,,,5.000.000,633.614.000,580.000.000,53.614.000,400.000.000,255.000.000,,,0,,,,204,/11/25,Bao sang tên,,,,
94,VINFAST,VF8 LUX PLUS,Mua Pin,69A-17331,9.000,Đỏ,2024,920.000.000,910.000.000,5.000.000,800.000.000,539.550.000,260.450.000,5.000.000,0,5.000.000,,,10/29/2025,10,Tuấn,3.000.000,,700.000,,880.000.000,19/11/2025,,2.500.000,500.000,,,23.686.000,5.000.000,872.000.000,808.700.000,63.300.000,380.000.000,500.000.000,,,0,,,,204,/11/25,,,,,
95,VINFAST,LUX A PRE,Công ty,51K-22602,18.000,Đen,2021,530.000.000,510.000.000,5.000.000,350.000.000,350.000.000,5.000.000,,0,5.000.000,,,10/31/2025,10,Thái,3.000.000,800.000,,,530.000.000,09/11/2025,,2.600.000,,515.000,,Kiều Diễm,15.000.000,511.885.000,358.800.000,153.085.000,20.000.000,510.000.000,,,0,,,,202,/11/25,,,,,
96,VINFAST,VF3,Thuê Pin,61C-62076,9.000,Hồng,2024,225.000.000,220.000.000,3.000.000,190.000.000,190.000.000,,,0,,,,11/6/2025,11,Vinh,3.000.000,550.000,,,222.000.000,10/11/2025,800.000,2.600.000,1.196.000,6.186.000,,Vinh,3.000.000,208.218.000,193.550.000,14.668.000,10.000.000,192.000.000,20.000.000,,0,,,,196,/11/25,Bao sang tên,,,,
97,VINFAST,VF3,Mua Pin,66A-29355,3.000,Hồng,2024,275.000.000,270.000.000,3.000.000,240.000.000,240.000.000,,,0,,,,11/4/2025,11,Thái,3.000.000,,,,275.000.000,06/11/2025,500.000,2.500.000,500.000,7.000.000,,Vinh,3.000.000,261.500.000,243.000.000,18.500.000,10.000.000,85.000.000,180.000.000,,0,,,,198,/11/25,Bao sang tên,,,,
98,VINFAST,VF3,Thuê Pin,72A-88601,11.000,Hồng Tím,2024,220.000.000,215.000.000,3.000.000,179.000.000,150.000.000,29.000.000,5.000.000,0,5.000.000,,,11/12/2025,11,Bình,3.000.000,800.000,,,205.000.000,09/12/2025,1.000.000,2.250.000,2.224.000,180.000,,Hà Tuấn,3.000.000,196.346.000,187.800.000,8.546.000,185.000.000,20.000.000,,,0,,,,190,/12/25,,,,,
99,VINFAST,LUX A PLUS,,49A-48122,23.000,Trắng,2022,630.000.000,620.000.000,5.000.000,550.000.000,5.000.000,400.000.000,145.000.000,0,,,,11/17/2025,11,Vinh,3.000.000,2.550.000,,,610.000.000,02/12/2025,650.000,2.500.000,,300.000,,Vinh,5.000.000,601.550.000,555.550.000,46.000.000,10.000.000,40.000.000,540.000.000,20.000.000,0,,,,185,/12/25,,,,,
100,VINFAST,E34,Thuê Pin,51K-582.76,35.000,Xanh,2022,435.000.000,425.000.000,5.000.000,360.000.000,40.000.000,320.000.000,3.000.000,0,3.000.000,,,11/17/2025,11,Việt,3.000.000,3.050.000,800.000,,380.000.000,24/12/2025,,2.300.000,,4.250.000,,,,373.450.000,369.850.000,3.600.000,380.000.000,,,,0,,,,185,/12/25,,,,,
101,VINFAST,LUX A PLUS,,72A-51368,53.000,trắng,2022,610.000.000,600.000.000,5.000.000,525.000.000,20.000.000,505.000.000,,0,,,,11/19/2025,11,Thái,3.000.000,,350.000,,562.000.000,19/11/2025,,2.300.000,,4.500.000,,Thái,2.000.000,553.200.000,528.350.000,24.850.000,562.000.000,,,,0,,,,183,/11/25,Bao HS đi Hà Nội bán lái,,,,
102,VINFAST,VF8 PLUS,Mua Pin,61K-70942,14.000,Xám,2025,920.000.000,910.000.000,5.000.000,840.000.000,10.000.000,520.000.000,315.000.000,0,5.000.000,,,12/12/2025,12,Tuấn,3.000.000,1.600.000,1.600.000,,860.000.000,21/01/2026,,2.000.000,,5.000.000,,Vũ,2.000.000,851.000.000,851.200.000,(-200.000),600.000.000,255.000.000,5.000.000,,0,,,,160,/01/26,Bán A Thức HN 860 tr (chưa bao gồm sơn),,,,
103,VINFAST,VF5 PLUS,Mua Pin,64H-03949,26.000,Đỏ,2025,435.000.000,425.000.000,5.000.000,370.000.000,370.000.000,3.000.000,,0,3.000.000,,,12/5/2025,12,Bình,3.000.000,300.000,,,385.000.000,24/12/2025,,,,4.250.000,,,,380.750.000,376.300.000,4.450.000,385.000.000,,,,0,,,,167,/12/25,,,,,
104,VINFAST,VF5 PLUS,Mua Pin,50H-48233,86.000,Đỏ,2024,380.000.000,370.000.000,5.000.000,312.000.000,200.000.000,112.000.000,3.000.000,0,3.000.000,,,12/5/2025,12,Thái,3.000.000,2.550.000,300.000,,355.000.000,,350.000,2.300.000,500.000,700.000,,Tuấn,5.000.000,346.150.000,320.850.000,25.300.000,10.000.000,315.000.000,30.000.000,,0,,,,167,/01/26,,,,,
105,VINFAST,VF6 PLUS,Mua Pin,67A-33749,25.000,Trắng,2024,640.000.000,630.000.000,5.000.000,603.000.000,50.000.000,400.000.000,158.000.000,0,5.000.000,,,12/15/2025,12,Vũ,3.000.000,1.200.000,1.800.000,,630.000.000,17/03/2026,350.000,3.000.000,500.000,,,Vinh,5.000.000,621.150.000,614.000.000,7.150.000,20.000.000,590.000.000,20.000.000,,0,,,,157,/03/26,,,,,
106,VINFAST,VF6 PLUS,Mua Pin,50H-57108,36.000,Xám,2024,640.000.000,630.000.000,5.000.000,560.000.000,50.000.000,350.000.000,165.000.000,0,5.000.000,,,12/8/2025,12,Vũ,3.000.000,,,,625.000.000,10/12/2025,350.000,2.300.000,500.000,,5.000.000,Binh,5.000.000,611.850.000,568.000.000,43.850.000,10.000.000,265.000.000,350.000.000,,0,,,Vay NH,164,/12/25,,,,,
107,VINFAST,VF9 PLUS,Mua Pin,51M-34519,10.000,Bạc,2025,1.260.000.000,1.250.000.000,5.000.000,1.190.000.000,10.000.000,1.180.000.000,,0,,530.000,5.000.000,12/9/2025,12,Bình,3.000.000,933.000,1.500.000,,1.215.000.000,,300.000,2.300.000,,,,Vũ,2.000.000,1.210.400.000,1.200.963.000,9.437.000,1.000.000.000,215.000.000,,,0,,,,163,/03/26,,,,,
108,VINFAST,VF5 PLUS,Mua Pin,51K-86581,23.000,Trắng,2024,425.000.000,415.000.000,5.000.000,370.000.000,70.000.000,300.000.000,3.000.000,0,3.000.000,,,12/25/2025,12,Vinh,3.000.000,1.000.000,,,390.000.000,,350.000,2.300.000,,,,Vũ,2.000.000,385.350.000,377.000.000,8.350.000,390.000.000,,,,0,,,,147,/01/26,,,,,
109,VINFAST,VF6 S,Mua Pin,72A-43420,5.000,Trắng,2025,610.000.000,600.000.000,5.000.000,550.000.000,550.000.000,2.000.000,,0,2.000.000,,,12/12/2025,12,Thái,3.000.000,,,,613.000.000,13/12/2025,550.000,2.250.000,500.000,15.000.000,,,5.000.000,589.700.000,555.000.000,34.700.000,20.000.000,573.000.000,20.000.000,,0,,,,160,/12/25,Bao sang tên,,,,
110,VINFAST,VF6 PLUS,Mua Pin,61K-30991,32.000,Xanh,2024,635.000.000,625.000.000,5.000.000,575.000.000,575.000.000,,5.000.000,0,5.000.000,,270.000,12/31/2025,1/2026,Vinh,3.000.000,1.500.000,,,620.000.000,07/03/2026,350.000,2.500.000,500.000,,,Tuấn,5.000.000,611.650.000,584.770.000,26.880.000,10.000.000,280.000.000,180.000.000,150.000.000,0,,,,141,/03/26,Vay NH 330,,,,
111,VINFAST,LUX A PRE,,51H-65692,73.000,Xám,2019,560.000.000,550.000.000,5.000.000,460.000.000,200.000.000,260.000.000,5.000.000,0,5.000.000,,,1/12/2026,01/2026,Thái,3.000.000,2.190.000,8.656.200,,519.000.000,17/01/2026,,2.600.000,,,,Vinh,5.000.000,511.400.000,478.846.200,32.553.800,489.000.000,30.000.000,,,0,,,,129,/01/26,,,,,
112,VINFAST,VF7 ECO,Mua Pin,18A-36386,12.000,Trắng,2025,660.000.000,650.000.000,5.000.000,608.000.000,10.000.000,598.000.000,,,,,,1/16/2026,01/2026,Thái,3.000.000,,,,642.000.000,22/01/2026,350.000,2.400.000,500.000,,,Tuấn,5.000.000,633.750.000,611.000.000,22.750.000,10.000.000,645.000.000,(-13.000.000),,0,,,,125,/01/26,,,,,
113,VINFAST,LUX A BASE,,79A-38291,6.000,Xám,2022,590.000.000,580.000.000,5.000.000,485.000.000,10.000.000,475.000.000,10.000.000,0,10.000.000,,,1/21/2026,01/2026,Vũ,3.000.000,300.000,,,580.000.000,21/01/2026,350.000,1.700.000,,,,Bình,5.000.000,572.950.000,498.300.000,74.650.000,10.000.000,150.000.000,390.000.000,30.000.000,0,,,,120,/01/26,,,,,
114,VINFAST,LUX A BASE,,60K-12746,7.900,Trắng,2022,620.000.000,610.000.000,5.000.000,545.000.000,420.000.000,100.000.000,25.000.000,0,,,,1/22/2026,01/2026,Vũ,3.000.000,,,,603.000.000,01/02/2026,350.000,2.500.000,,,,Vinh,5.000.000,595.150.000,548.000.000,47.150.000,30.000.000,50.000.000,523.000.000,,0,,,,119,/02/26,,,,,
115,VINFAST,VF5 PLUS,Mua Pin,64H-04127,40.000,trắng,2025,435.000.000,425.000.000,3.000.000,370.000.000,370.000.000,,,0,,,,1/22/2026,01/2026,Vinh,3.000.000,2.400.000,,,415.000.000,04/03/2026,665.000,3.000.000,500.000,,,Vinh,3.000.000,407.835.000,375.400.000,32.435.000,395.000.000,20.000.000,,,0,,,,119,/03/26,,,,,
116,VINFAST,LUX A BASE,,79A-408.13,24.000,Đen,2022,595.000.000,585.000.000,5.000.000,540.000.000,20.000.000,500.000.000,20.000.000,0,,1.145.000,,1/26/2026,01/2026,Thái,3.000.000,,,,580.000.000,20/02/2026,350.000,1.300.000,,,,Vinh,5.000.000,573.350.000,544.145.000,29.205.000,20.000.000,550.000.000,10.000.000,,0,,,,115,/02/26,,,,,
117,VINFAST,VF3,Mua Pin,72A-873.41,7.000,Xám,2025,255.000.000,250.000.000,3.000.000,215.000.000,195.000.000,23.000.000,,0,3.000.000,,,1/24/2026,01/2026,Thái,3.000.000,500.000,,,245.000.000,27/01/2026,1.400.000,3.000.000,500.000,,,Tuấn,3.000.000,237.100.000,221.500.000,15.600.000,5.000.000,235.000.000,5.000.000,,0,,,,117,/01/26,,,,,
118,VINFAST,VF3,Mua Pin,60C-77227,6.500,trắng,2025,255.000.000,250.000.000,3.000.000,210.000.000,210.000.000,,,0,,,,1/30/2026,01/2026,Thái,3.000.000,,600.000,,253.000.000,01/02/2026,350.000,1.500.000,500.000,6.186.000,,Vinh,3.000.000,241.464.000,213.600.000,27.864.000,10.000.000,150.000.000,73.000.000,20.000.000,0,,,,111,/02/26,Bao sang tên,,,,
119,VINFAST,VF6 PLUS,Mua Pin,83G-00186,40.000,trắng,2024,620.000.000,610.000.000,5.000.000,525.000.000,525.000.000,10.000.000,,0,10.000.000,,,2/9/2026,02/2026,Thái,3.000.000,335.000,,,600.000.000,26/02/2026,550.000,2.000.000,500.000,1.242.000,,Vinh,5.000.000,590.708.000,538.335.000,52.373.000,20.000.000,245.000.000,335.000.000,,0,,,,101,/03/26,,,,,
120,VINFAST,VF3,Thuê Pin,51M-00020,14.000,Vàng,2025,220.000.000,205.000.000,3.000.000,178.000.000,10.000.000,150.000.000,18.000.000,0,,,1.400.000,2/9/2026,02/2026,Vũ,3.000.000,350.000,,,207.000.000,09/02/2026,1.250.000,2.300.000,500.000,,,Vũ,3.000.000,199.950.000,182.750.000,17.200.000,50.000.000,157.000.000,,,0,,,,101,/02/26,,,,,
121,VINFAST,LUX SA PRE,,51H-46095,38.000,Xanh,2021,745.000.000,735.000.000,5.000.000,640.000.000,40.000.000,550.000.000,56.000.000,0,6.000.000,,,3/5/2026,03/2026,Thái,3.000.000,,,,735.000.000,06/03/2026,955.000,2.700.000,,,,Vinh,5.000.000,726.345.000,649.000.000,77.345.000,30.000.000,675.000.000,30.000.000,,0,,,,77,/03/26,,,,,
122,VINFAST,LUX A PRE,,51M-01283,69.000,trắng,2021,620.000.000,610.000.000,5.000.000,550.000.000,20.000.000,530.000.000,,0,,,,3/9/2026,03/2026,Bình,3.000.000,,5.700.000,,605.000.000,16/03/2026,350.000,2.300.000,,,,Tuấn,5.000.000,597.350.000,558.700.000,38.650.000,10.000.000,595.000.000,,,0,,,,73,/03/26,,,,,
123,VINFAST,LUX A BASE,,48A-13435,32.000,trắng,2021,,,,495.000.000,50.000.000,425.000.000,23.000.000,0,3.000.000,,,,03/2026,vinh,3.000.000,,,,562.000.000,14/03/2026,650.000,3.000.000,,10.881.000,,Dương,5.000.000,542.469.000,501.000.000,41.469.000,10.000.000,530.000.000,22.000.000,,0,,,,46163,/03/26,Bao sang tên,,,,
